nombre,marca,categoria,precio,stock_minimo,codigo_barras,url_ecommerce
Pulmobrox,Natures Pet,Jarabes,165,3,619114000000,https://www.tiendanaturistamx.com/productos/pulmobrox-nat-jarabe-con-miel-propoleo-gordolobo-vitamina-c-y-eucalipto-240-ml/
Vital Fuerte,Vital Fuerte,VIT y MIN,205,3,675873000000,https://www.tiendanaturistamx.com/productos/vital-fuerte-multivitaminico-con-vitaminas-y-minerales-antioxidante-100-capsulas/
Melena de Leon,Naturalhealth,Neuro,180,3,7501850000000,https://www.tiendanaturistamx.com/productos/melena-de-leon-natural-health-suplemento-con-hericium-erinaceus-60-capsulas-de-500-mg/
Artri King,,Articulaciones,150,3,7501030000000,https://www.tiendanaturistamx.com/productos/artri-king-glucosamina-condroitina-omega3-100-tabletas/
FF Flex,Ypenza,Articulaciones,126,3,7502210000000,https://www.tiendanaturistamx.com/productos/ff-flex-ypenzza-suplemento-con-glucosamina-condroitina-acido-hialuronico-y-msm-30-tabletas/
L-Glutamina,High Power,Suplementos,280,3,,https://www.tiendanaturistamx.com/productos/l-glutamina-high-power-suplemento-alimenticio-para-musculo-y-recuperacion-100-capsulas/
Creatina,High Power,Suplementos,220,3,7501060000000,https://www.tiendanaturistamx.com/productos/creatina-high-power-suplemento-de-creatina-monohidratada-para-energia-y-desempeno-90-capsulas/
3 Magnesios ,Vidanat,VIT y MIN,170,3,7501060000000,https://www.tiendanaturistamx.com/productos/3-magnesios-vidanat-citrato-cloruro-y-glicinato-de-magnesio-60-tabletas/
Acido Hialuronico ,Vidanat,Articulaciones,140,3,7501060000000,https://www.tiendanaturistamx.com/productos/acido-hialuronico-vidanat-suplemento-con-colageno-y-acido-hialuronico-30-tabletas/
Alga Spirulina ,Vidanat,VIT y MIN,165,3,7501060000000,https://www.tiendanaturistamx.com/productos/alga-spirulina-vidanat-suplemento-natural-de-alga-spirulina-en-tabletas-200-tabletas/
Colageno Hidrolizado ,Vidanat,Articulaciones,160,3,,https://www.tiendanaturistamx.com/productos/colageno-hidrolizado-vidanat-con-vitamina-c-120-tabletas/
Colageno TIpo II ,Vidanat,Articulaciones,245,3,7501060000000,https://www.tiendanaturistamx.com/productos/colageno-tipo-ii-con-acido-hialuronico-y-citrato-de-magnesio-vidanat-30-capsulas/
Vitamina C ,Vidanat,VIT y MIN,125,3,,https://www.tiendanaturistamx.com/productos/vitamina-c-1000-mg-en-tabletas-suplemento-antioxidante-natural/
Vitamina E 1000 ,Vidanat,VIT y MIN,135,3,7501060000000,https://www.tiendanaturistamx.com/productos/vitamina-e-1000-ui-con-aceite-de-germen-de-trigo-vidanat-30-capsulas/
Vitamina D3 ,Vidanat,VIT y MIN,120,3,7501060000000,https://www.tiendanaturistamx.com/productos/vitamina-d3-5-mcg-suplemento-alimenticio-natural-vidanat/
Zinc ,Vidanat,VIT y MIN,116,3,7501060000000,https://www.tiendanaturistamx.com/productos/zinc-20-mg-suplemento-alimenticio-para-el-sistema-inmunologico-vidanat/
Ortiga ,Vidanat,Articulaciones,150,3,7501060000000,https://www.tiendanaturistamx.com/productos/ortiga-250-mg-suplemento-alimenticio-natural-vidanat/
Carbon Activado Vegetal ,Vidanat,Desintoxicacion,165,3,7501060000000,https://www.tiendanaturistamx.com/productos/carbon-activado-vegetal-vidanat-detox-natural-en-capsulas/
Acido Alfa Lipoico ,Vidanat,Antioxidantes,275,3,7501060000000,https://www.tiendanaturistamx.com/productos/acido-alfa-lipoico-con-resveratrol-y-extracto-de-uva-60-capsulas-vidanat/
Vitamina C - Equinacea - Jengibre y Zinc ,Vidanat,VIT y MIN,165,3,7501060000000,https://www.tiendanaturistamx.com/productos/vitamina-c-equinacea-jengibre-zinc-suplemento-alimenticio-vidanat/
Papaina y Bromelina ,Vidanat,Digestion,95,3,7501060000000,https://www.tiendanaturistamx.com/productos/papaina-y-bromelina-23-mg-suplemento-digestivo-natural-vidanat/
Aceite de oregano,SIOUX,Imunologico,124,3,,
Aceite de oregano,Lorenzana,Imunologico,73,3,,
Aceite de Primula ,Vidanat,Piel,155,3,7501060000000,
Ajo con perejil ,Vidanat,Corazon,155,3,7501060000000,
Pre-Pro Bioticos ,Vidanat,Digestion,150,3,7501060000000,
Vinagre de Manzana ,Vidanat,Desintoxicacion,131,3,7501060000000,
Complejo B ,Tamilgentrin,VIT y MIN,120,3,7503010000000,
Jarabe TKita Estres ,Dina,Relajacion,73,3,7502610000000,
Melatonina ,Kukamonga,Relajacion,160,3,7508300000000,
Resveratrol Te verde y semilla de uva ,Vidanat,Antioxidantes,131,3,7501060000000,
Retinol Vitamina A,Natural Feel,VIT y MIN,128,3,,
Vitamina D3K2 ,Navit,VIT y MIN,125,3,7502300000000,
BioTin 5000 MCG ,Prettan,VIT y MIN,124,3,,
Alumbre ,AZULE,Piel,62,3,,
Arbol de te ,Productos del Roble,Piel,125,3,,
Colagener ,BIOMIRAL,Articulaciones,117,3,7503180000000,
Colageno ,Norwegian Labs,Piel,69,3,,
E Avocado ,Health Pro,VIT y MIN,133,3,741360000000,
E Squalane ,Health Pro,VIT y MIN,133,3,741360000000,
Vitamina E ,Norwegian Labs,Piel,69,3,,
Inulina ,Pasiguaro,Digestion,50,2,7502270000000,
E Aloe Vera,Health Pro,VIT y MIN,133,3,741360000000,
Berberina ,Vidanat,Desintoxicacion,207,3,7501060000000,
Enzimas digestivas PLUS,,Digestion,113,3,6758730000000,
Acido Hialuronico,Norwegian Labs,Piel,71,3,,
Calendula,Natural Flowe,Piel,32,3,7501379205155,
